reading_number,sensor_data
1,"35822, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 2.00, 24.00, 24.00, 26.37, 42.1, 100.69, 42.2, 5.5, 85.2, 1351.4, -27.7"
2,"36041, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 5.00, 28.00, 27.00, 26.36, 42.2, 100.70, 42.2, 5.5, 79.9, 1060.7, -29.8"
3,"36262, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 4.00, 27.00, 26.00, 26.36, 42.2, 100.69, 42.2, 5.5, 81.6, 418.8, -37.9"
4,"36487, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 2.00, 26.00, 20.00, 26.36, 42.2, 100.69, 42.2, 5.5, 85.6, 786.0, -32.4"
5,"36705, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 4.00, 29.00, 31.00, 26.35, 42.2, 100.69, 42.2, 5.5, 82.1, 630.5, -34.3"
6,"36923, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 3.00, 28.00, 22.00, 26.35, 42.2, 100.70, 42.2, 5.5, 83.9, 573.2, -35.1"
7,"37140, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 6.00, 27.00, 31.00, 26.36, 42.2, 100.69, 42.2, 5.5, 77.5, 538.3, -35.7"
8,"37358, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 5.00, 28.00, 30.00, 26.36, 42.2, 100.70, 42.2, 5.5, 79.9, 198.9, -44.3"
9,"37577, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 4.00, 30.00, 32.00, 26.35, 42.2, 100.69, 42.2, 5.5, 82.4, 442.6, -37.4"
10,"37796, -0.1041, 0.7230, 0.7981, 419.13, -7.75, 55.42, 3.00, 27.00, 27.00, 26.36, 42.2, 100.69, 42.2, 5.5, 83.7, 805.0, -32.2"
