time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_uT,my_uT,mz_uT,temp_C,hum_pct,press_hPa,roll_deg,pitch_deg,heading_deg,mic_rms,mic_dBFS
8744, 0.0936, -0.8756, -0.5583, 1.34, -2.32, -3.23, -31.00, -18.00, 18.00, 26.98, 38.4, 100.65, -122.5, -5.2, 210.1, 1557.9, -26.5
8956, 0.0885, -0.8633, -0.5117, -1.65, 7.32, -1.34, -27.00, -17.00, 16.00, 27.01, 38.3, 100.65, -120.7, -5.0, 212.2, 1238.2, -28.5
9167, 0.0922, -0.8768, -0.4773, 2.62, -5.86, -4.58, -29.00, -18.00, 14.00, 26.98, 38.3, 100.65, -118.6, -5.3, 211.8, 731.5, -33.0
9378, 0.0803, -0.9109, -0.4351, 1.77, -7.45, -2.81, -28.00, -16.00, 9.00, 26.98, 38.2, 100.65, -115.5, -4.5, 209.7, 908.6, -31.1
9589, 0.0959, -0.8611, -0.4934, 0.67, 4.39, 4.27, -29.00, -15.00, 14.00, 26.98, 38.2, 100.65, -119.8, -5.5, 207.3, 1441.2, -27.1
9800, 0.1123, -0.7787, -0.5072, -8.54, 23.74, 5.25, -31.00, -18.00, 15.00, 26.98, 38.2, 100.65, -123.1, -6.9, 210.1, 1070.7, -29.7
10011, 0.0867, -0.9451, -0.4463, 0.55, 19.35, 8.12, -28.00, -15.00, 13.00, 26.97, 38.2, 100.65, -115.3, -4.7, 208.2, 768.5, -32.6
10222, 0.0895, -0.7977, -0.6122, -4.27, 13.18, 5.68, -29.00, -16.00, 13.00, 26.97, 38.2, 100.65, -127.5, -5.1, 208.9, 1061.4, -29.8
10433, 0.0818, -0.8983, -0.4788, 1.59, -2.44, -4.03, -29.00, -16.00, 15.00, 26.97, 38.2, 100.66, -118.1, -4.6, 208.9, 573.8, -35.1
10644, 0.0889, -0.8407, -0.5488, -0.12, 5.31, -1.71, -29.00, -18.00, 15.00, 26.98, 38.2, 100.65, -123.1, -5.1, 211.8, 1776.6, -25.3
