timestamp,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18
1104360,0.0457,-0.8051,-0.6183,0.37,0.00,0.37,-52.00,8.00,8.00,26.83,37.9,331.97,-127.5,-2.6,171.3,1001.4,-30.3
1104571,0.0394,-0.8022,-0.6165,-0.61,-0.18,0.37,-53.00,10.00,6.00,26.82,37.9,331.97,-127.5,-2.2,169.3,725.7,-33.1
1104782,0.0430,-0.8029,-0.6113,-0.61,-0.06,0.31,-52.00,6.00,7.00,26.82,37.8,331.97,-127.3,-2.4,173.4,332.9,-39.9
1104993,0.0415,-0.8029,-0.6147,-0.12,-0.06,0.43,-52.00,7.00,10.00,26.82,37.8,331.97,-127.4,-2.4,172.3,634.2,-34.3
1105204,0.0435,-0.8025,-0.6140,-0.12,-0.06,0.31,-51.00,7.00,8.00,26.82,37.8,331.97,-127.4,-2.5,172.2,365.2,-39.1
1105415,0.0383,-0.8025,-0.6169,-0.61,-0.18,0.37,-52.00,8.00,9.00,26.82,37.8,331.97,-127.6,-2.2,171.3,626.7,-34.4
1105626,0.0385,-0.8038,-0.6105,-0.24,-0.12,0.37,-54.00,5.00,6.00,26.80,37.7,331.97,-127.2,-2.2,174.7,600.0,-34.7
1105837,0.0439,-0.7997,-0.6178,-0.61,0.00,0.24,-50.00,8.00,3.00,26.82,37.7,331.97,-127.7,-2.5,170.9,755.1,-32.7
1106048,0.0437,-0.8052,-0.6060,-0.12,-0.18,0.37,-52.00,6.00,6.00,26.82,37.7,331.97,-127.0,-2.5,173.4,1170.2,-28.9
1106259,0.0388,-0.8014,-0.6201,-0.12,-0.12,0.31,-54.00,8.00,9.00,26.80,37.7,331.97,-127.7,-2.2,171.6,509.5,-36.2
