time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_uT,my_uT,mz_uT,temp_C,hum_pct,press_hPa,roll_deg,pitch_deg,heading_deg,mic_rms,mic_dBFS
104152, -0.0082, -0.9915, -0.2091, -0.61, -0.12, 0.37, 2.00, -34.00, 15.00, 26.07, 39.9, 100.63, -101.9, 0.5, 273.4, 806.8, -32.2
104363, 0.0017, -0.9890, -0.2028, -0.31, -0.06, 0.37, 2.00, -38.00, 15.00, 26.05, 39.9, 100.62, -101.6, -0.1, 273.0, 682.9, -33.6
104574, -0.0049, -0.9902, -0.2019, 0.12, 0.12, 0.18, 1.00, -34.00, 14.00, 26.07, 39.9, 100.63, -101.5, 0.3, 271.7, 1153.0, -29.1
104786, -0.0073, -0.9933, -0.2039, -0.79, 0.00, 0.37, 4.00, -34.00, 15.00, 26.05, 39.9, 100.63, -101.6, 0.4, 276.7, 695.7, -33.5
104997, -0.0063, -0.9932, -0.2037, -0.37, 0.06, 0.24, 4.00, -34.00, 11.00, 26.05, 39.8, 100.63, -101.6, 0.4, 276.7, 803.7, -32.2
105208, -0.0067, -0.9916, -0.1996, -0.55, -0.06, 0.31, 3.00, -36.00, 13.00, 26.05, 39.8, 100.63, -101.4, 0.4, 274.8, 812.5, -32.1
105419, -0.0044, -0.9944, -0.2036, 0.73, 0.06, 0.18, 2.00, -34.00, 14.00, 26.07, 39.7, 100.63, -101.6, 0.2, 273.4, 856.3, -31.7
105630, -0.0068, -0.9927, -0.2024, 0.06, 0.00, 0.31, 2.00, -35.00, 18.00, 26.07, 39.7, 100.63, -101.5, 0.4, 273.3, 971.1, -30.6
105842, -0.0096, -0.9933, -0.2029, 0.06, 0.12, 0.31, 4.00, -34.00, 12.00, 26.07, 39.6, 100.63, -101.5, 0.5, 276.7, 1065.9, -29.8
106053, -0.0133, -0.9927, -0.2023, 0.12, 0.06, 0.31, 0.00, -34.00, 18.00, 26.07, 39.6, 100.63, -101.5, 0.8, 270.0, 1117.8, -29.3
