time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_uT,my_uT,mz_uT,temp_C,hum_pct,press_hPa,roll_deg,pitch_deg,heading_deg,mic_rms,mic_dBFS
3063.0,0.0089,-0.6678,0.7465,-0.43,0.06,-0.06,0.0,-16.0,51.0,26.65,39.0,100.55,-41.8,-0.5,270.0,14165.9,-7.3
3275.0,0.0143,-0.6696,0.7456,-0.37,0.18,-0.06,2.0,-16.0,52.0,26.68,38.9,100.56,-41.9,-0.8,277.1,6285.1,-14.3
3487.0,0.0093,-0.6691,0.7458,0.0,0.12,0.0,0.0,-19.0,52.0,26.69,38.9,100.55,-41.9,-0.5,270.0,803.1,-32.2
3698.0,0.0137,-0.6694,0.7468,-0.31,0.12,-0.06,1.0,-13.0,50.0,26.7,38.9,100.55,-41.9,-0.8,274.4,3938.2,-18.4
3910.0,0.0085,-0.6676,0.7477,-0.43,0.12,0.0,0.0,-16.0,52.0,26.7,38.9,100.56,-41.8,-0.5,270.0,4623.8,-17.0
4121.0,0.0115,-0.6689,0.7473,-0.12,0.18,-0.12,1.0,-15.0,50.0,26.7,38.8,100.56,-41.8,-0.7,273.8,4033.9,-18.2
4333.0,0.0112,-0.6688,0.7483,-0.12,0.12,-0.06,1.0,-11.0,48.0,26.72,38.8,100.55,-41.8,-0.6,275.2,3598.8,-19.2
4545.0,0.0078,-0.6689,0.7485,-0.31,0.12,0.0,2.0,-13.0,56.0,26.7,38.8,100.56,-41.8,-0.4,278.7,3316.6,-19.9
4757.0,0.0132,-0.6694,0.7477,-0.61,0.18,-0.06,0.0,-12.0,47.0,26.72,38.8,100.56,-41.8,-0.8,270.0,2661.6,-21.8
4969.0,0.0146,-0.6715,0.7455,0.37,0.12,-0.06,0.0,-17.0,59.0,26.72,38.7,100.56,-42.0,-0.8,270.0,2099.6,-23.9
