timestamp_ms,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,temperature,humidity,pressure,proximity,val1,val2,val3,val4
334939,-0.0536,-0.4458,-0.9078,-0.55,0.12,0.06,-18.00,18.00,-20.00,26.83,38.5,100.59,-153.8,3.0,135.0,923.9,-31.0
335151,-0.0531,-0.4427,-0.9084,-0.31,0.06,-0.06,-18.00,18.00,-20.00,26.80,38.5,100.59,-154.0,3.0,135.0,695.8,-33.5
335363,-0.0557,-0.4431,-0.9075,-0.12,0.06,-0.12,-20.00,24.00,-15.00,26.81,38.5,100.59,-154.0,3.2,129.8,519.2,-36.0
335575,-0.0544,-0.4449,-0.9067,-0.37,0.00,0.00,-21.00,20.00,-19.00,26.81,38.5,100.59,-153.9,3.1,136.4,486.3,-36.6
335787,-0.0529,-0.4471,-0.9069,-0.37,0.06,0.00,-20.00,19.00,-20.00,26.81,38.5,100.59,-153.8,3.0,136.5,317.5,-40.3
335999,-0.0540,-0.4437,-0.9076,-0.31,0.06,-0.06,-19.00,21.00,-24.00,26.80,38.4,100.59,-153.9,3.1,132.1,646.4,-34.1
336211,-0.0531,-0.4440,-0.9086,-0.24,0.06,-0.12,-21.00,24.00,-18.00,26.80,38.4,100.59,-154.0,3.0,131.2,441.0,-37.4
336423,-0.0546,-0.4449,-0.9065,-0.37,0.12,-0.12,-23.00,25.00,-21.00,26.80,38.4,100.59,-153.9,3.1,132.6,1099.4,-29.5
336635,-0.0536,-0.4440,-0.9066,-0.37,0.12,-0.06,-21.00,21.00,-16.00,26.80,38.4,100.59,-153.9,3.0,135.0,389.0,-38.5
336847,-0.0536,-0.4436,-0.9064,-0.37,0.06,-0.06,-20.00,18.00,-25.00,26.80,38.4,100.59,-153.9,3.0,138.0,1362.6,-27.6
